NEW,P.SYMBOL,P.DATE,CURRENCY,P.PRICE,P.VOL$,EST.S.DATE,EST.S.PRICE,EST.PROFITPCT,EST.PROFITPCT252D,T.DATE,T.PRICE,T.VOL$,R.DATE,STATUS,PROFITPCT,PROFITPCT252D,DATEPCT,PRICEPCT
+,ASX-CGC,2021-03-22,AUD,4.46,13918242.0,2021-10-15,7.01,57.17,70.0,2021-03-22,4.46,13918242.0,2021-02-22,OPEN,0.0,0.0,0.0,0.0
+,ASX-SZL,2021-03-22,AUD,8.17,4315492.0,2021-06-01,11.58,41.74,148.0,2021-03-22,8.17,4315492.0,2021-02-25,OPEN,0.0,0.0,1.0,0.0
+,ASX-WSA,2021-03-22,AUD,2.06,6745357.0,2021-10-26,3.23,56.8,66.0,2021-03-22,2.06,6745357.0,2021-02-22,OPEN,0.0,0.0,0.0,0.0
+,ASX-WHC,2021-03-22,AUD,1.75,21514968.0,2021-08-26,2.54,45.14,72.0,2021-03-22,1.755,21514968.0,2021-08-26,OPEN,0.29,73.0,1.0,1.0
-,ASX-A2M,2020-01-22,AUD,15.59,80587859.0,2020-10-24,34.02,118.22,108.0,2020-10-23,14.45,43142628.0,-,CLOSED,-7.31,-8.0,86.0,-6.0
-,ASX-A2M,2020-01-22,AUD,15.59,80587859.0,2020-07-05,23.89,53.24,81.0,2020-07-03,19.83,44111577.0,-,CLOSED,27.2,49.0,85.0,51.0
-,ASX-A2M,2020-01-23,AUD,15.31,38412132.0,2020-08-10,19.97,30.44,38.0,2020-06-18,19.97,40166834.0,-,CLOSED,30.44,60.0,64.0,100.0
-,ASX-NAN,2020-01-28,AUD,6.83,5279378.0,2020-12-18,9.64,41.14,32.0,2020-12-18,7.81,10917763.0,-,CLOSED,14.35,13.0,86.0,35.0
-,ASX-NAN,2020-02-06,AUD,7.15,6046169.0,2021-01-06,9.87,38.04,29.0,2021-01-06,7.47,9364213.0,-,CLOSED,4.48,4.0,86.0,12.0
-,ASX-REA,2020-02-07,AUD,116.9,54905933.0,2020-08-19,153.45,31.27,41.0,2020-08-19,117.62,22301575.0,-,CLOSED,0.62,1.0,86.0,2.0
-,ASX-A2M,2020-02-11,AUD,14.89,52999481.0,2020-08-01,22.17,48.89,72.0,2020-07-31,19.29,51521584.0,-,CLOSED,29.55,51.0,85.0,60.0
-,ASX-A2M,2020-02-18,AUD,15.75,65443234.0,2020-11-19,34.37,118.22,108.0,2020-11-19,13.8,69952283.0,-,CLOSED,-12.38,-13.0,86.0,-10.0
-,ASX-A2M,2020-02-18,AUD,15.75,65443234.0,2020-07-31,24.14,53.27,82.0,2020-07-31,19.29,51521584.0,-,CLOSED,22.48,40.0,86.0,42.0
-,ASX-A2M,2020-03-03,AUD,16.13,81522197.0,2020-08-22,24.02,48.92,72.0,2020-08-21,18.37,86859294.0,-,CLOSED,13.89,24.0,85.0,28.0
-,ASX-REA,2020-03-03,AUD,98.55,40519536.0,2020-12-11,131.51,33.44,30.0,2020-11-06,131.51,30276236.0,-,CLOSED,33.44,39.0,76.0,100.0
-,ASX-REA,2020-03-03,AUD,98.55,40519536.0,2021-01-04,137.91,39.94,33.0,2020-11-09,137.91,15580137.0,-,CLOSED,39.94,47.0,70.0,100.0
-,ASX-REA,2020-03-03,AUD,98.55,40519536.0,2020-11-07,138.15,40.18,41.0,2020-11-06,127.33,37242370.0,-,CLOSED,29.2,34.0,86.0,73.0
-,ASX-REA,2020-03-03,AUD,98.55,40519536.0,2020-11-24,135.48,37.47,35.0,2020-11-09,135.48,19781232.0,-,CLOSED,37.47,44.0,81.0,100.0
-,ASX-REA,2020-03-05,AUD,100.8,46638912.0,2020-12-13,134.51,33.44,30.0,2020-11-09,134.51,30276236.0,-,CLOSED,33.44,39.0,76.0,100.0
-,ASX-REA,2020-03-05,AUD,100.8,46638912.0,2020-11-26,138.57,37.47,35.0,2020-11-09,138.57,14732871.0,-,CLOSED,37.47,44.0,81.0,100.0
-,ASX-REA,2020-03-05,AUD,100.8,46638912.0,2021-01-06,141.06,39.94,33.0,2020-11-10,141.06,30266367.0,-,CLOSED,39.94,47.0,70.0,100.0
